"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3NSN6V (Référence : S3NSN6V_20211105)","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","02/18/2022","02/18/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022-09fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2022_09en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Technologies AG OPTIGA™ Trusted Platform Module SLB9672_2.0 v16.10.16488.00 and SLB9673_2.0 v26.10.16688.00","Infineon Technologies AG","DE","EAL4+,ALC_FLR.1,AVA_VAN.4","TPM 2021 02","02/15/2022","02/15/2027","http://commoncriteriaportal.org:443/files/epfiles/1178V2a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1178V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Technologies AG OPTIGA™ Trusted Platform Module SLB9672_2.0 v17.10.16488.00 and SLB9673_2.0 v27.10.16688.00","Infineon Technologies AG","DE","EAL4+,AVA_VAN.4,ALC_FLR.1","TPM 2021 02","02/15/2022","02/15/2027","http://commoncriteriaportal.org:443/files/epfiles/1179V2a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1179V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Technologies AG OPTIGA™ Trusted Platform Module SLB9672_2.0, v15.20.15686.00 and v15.21.16430.00","Infineon Technologies AG","DE","EAL4+,AVA_VAN.4,ALC_FLR.1","TPM 2021 02","02/15/2022","02/15/2027","http://commoncriteriaportal.org:443/files/epfiles/1113V3a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1113V3b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","EP-COS V3.0 Plain, EPCOSV30e","NXP Semiconductors Germany GmbH","NL","EAL4+,ALC_DVS.2,ATE_DPT.2","MRTD_ICAO_BA_V1.10","02/14/2022","02/14/2027","http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-127667-cr3-1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-127667_3-stlite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP MF0AES(H)x0, NT2H2xy1G and NT2H2xy1S, Release B0","NXP Semiconductors","NL","EAL3+,ASE_TSS.2","","02/01/2022","02/01/2027","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0138361-CR-1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0138361-STLite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ACOS-IDv2.0 eMRTD (B) BAC Configuration (Version 2.0 eMRTD (B))","Austria Card plastikkarten und Ausweissysteme Gmbh","FR","EAL4+,ALC_CMS.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.2,ATE_DPT.2","MRTD_ICAO_BA_V1.10","01/27/2022","01/27/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022_08fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2022_08en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ACOS-IDv2.0 eMRTD (B) EAC/PACE Configuration (Version 2.0 eMRTD (B))","Austria Card plastikkarten und Ausweissysteme Gmbh","FR","EAL4+,ALC_CMS.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.2,ATE_DPT.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","01/27/2022","01/27/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022_07fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2022_07en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (BAC and AA activated)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_17v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_17v2en.pdf","03/28/2022","Maintenance report: ANSSI-CC-2017/17v2-M01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_17v2-m01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (BAC and AA activated)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_17v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_17v2en.pdf","04/22/2022","Reassessment report: ANSSI-CC-2017/17v2-S01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_17v2-s01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (BAC and AA activated)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_17v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_17v2en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (EACv1 and AA activated)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/certificat-cc-2017_42v2-s01.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_42v2en.pdf","03/28/2022","Maintenance report: ANSSI-CC-2017/42v2-M01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_42v2-m01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (EACv1 and AA activated)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/certificat-cc-2017_42v2-s01.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_42v2en.pdf","04/22/2022","Reassessment report: ANSSI-CC-2017/42v2-S01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_42v2-s01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (EACv1 and AA activated)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/certificat-cc-2017_42v2-s01.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_42v2en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (PACE, EAC and AA activated)","THALES DIS FRANCE SA","FR","EAL5,ALC_DVS.2,AVA_VAN.5","","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_18v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_18v2en.pdf","03/28/2022","Maintenance report: ANSSI-CC-2017/18v2-M01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_18v2-m01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (PACE, EAC and AA activated)","THALES DIS FRANCE SA","FR","EAL5,ALC_DVS.2,AVA_VAN.5","","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_18v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_18v2en.pdf","04/22/2022","Reassessment report: ANSSI-CC-2017/18v2-S01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_18v2-s01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.1 (PACE, EAC and AA activated)","THALES DIS FRANCE SA","FR","EAL5,ALC_DVS.2,AVA_VAN.5","","01/24/2022","04/22/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_18v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2017_18v2en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K170A/S3K140A Référence S3K170A_20211028","SAMSUNG ELECTRONICS INC.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","01/24/2022","01/24/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022-01.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2022_01en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K200B/S3K170B/S3K140B Référence S3K200B_20211112","SAMSUNG ELECTRONICS INC.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","01/24/2022","01/24/2024","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022_03.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2022_03en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K250A/S3K232A/S3K212A Référence S3K250A_20211028","SAMSUNG ELECTRONICS INC.","FR","EAL5,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","01/24/2022","01/24/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022_02.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2022_02en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.3-2.0 - BAC and AA activated (Version 1.0)","THALES DIS FRANCE SA","FR","EAL4,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","12/27/2021","12/27/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021-60.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_60en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.3-2.0 – BAC, EAC and AA activated (Version 1.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.1","12/27/2021","12/27/2025","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021-64.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_64en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.3-2.0 – PACE, EAC and AA activated (Version 1.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/27/2021","12/27/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021-63.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_63en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3D350A / S3D300A / S3D264A / S3D232A / S3D200A / S3K350A / S3K300A (Référence S3D350A_20211028)","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/27/2021","12/27/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_66.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_66en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Secure Element S3B512C/SC3512C (32-bit RISC Microcontroller) with optional AT1 Secure Library and Fingerprint Library including specific IC Dedicated software (Référence S3B512C_20210830)","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/27/2021","12/27/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_62.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_62en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","XSmart e-Passport V1.5 BAC with AA on M7892","LG CNS","KR","EAL4+,ALC_DVS.2,ATE_DPT.2","MRTD_ICAO_BA_V1.10","12/23/2021","12/23/2026","http://commoncriteriaportal.org:443/files/epfiles/KECS-ISIS-1140-2021 CR(XSmart e-Passport V1.5 BAC with AA on M7892)(eng).pdf","http://commoncriteriaportal.org:443/files/epfiles/KECS-ISIS-1140-2021 ST_XSMART e-Passport V1.5_ASE(BAC with AA)_ENG_V1.0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","XSmart e-Passport V1.5 EAC with PACE on M7892","LG CNS","KR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/23/2021","12/23/2026","http://commoncriteriaportal.org:443/files/epfiles/KECS-ISIS-1139-2021 CR(XSmart e-Passport V1.5 EAC with PACE on M7892)(eng).pdf","http://commoncriteriaportal.org:443/files/epfiles/KECS-ISIS-1139-2021 ST_XSMART e-Passport V1.5_ASE(EAC with PACE)_ENG_V1.0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon smartcard IC (Security Controller) M7791 B12 with specific IC-dedicated firmware","Infineon Technologies AG","DE","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/21/2021","12/21/2026","http://commoncriteriaportal.org:443/files/epfiles/0963V3a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0963V3b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel v2.3 on MultiApp v4.1 platform, BAC, EAC and AA activated Référence/version du produit Version de l’application eTravel : 2.3 Version de la plateforme Java Card MultiApp : 4.1","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.1","12/17/2021","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2018_58v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2018_58v2en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel v2.3 on MultiApp v4.1 platform, BAC, EAC and AA activated Référence/version du produit Version de l’application eTravel : 2.3 Version de la plateforme Java Card MultiApp : 4.1","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.0","12/17/2021","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2018_56v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2018_56v2en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel v2.3 on MultiApp v4.1 platform, PACE, EAC and AA activated Version de l’application eTravel : 2.3 Version de la plateforme Java Card MultiApp : 4.1","THALES DIS FRANCE SA","FR","Basic","MRTD_ICAO_EAC_V1.3","12/17/2021","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2018_57v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2018_57v2en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","MN67S3C0 Smart Card IC Version : FV05","Nuvoton Technology","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/17/2021","12/17/2025","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_55fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_55en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon IFX_CCI_00003Fh IFX_CCI_000059h IFX_CCI_00005Bh IFX_CCI_00003Ch IFX_CCI_00003Dh IFX_CCI_00005Ah design step G11 and H11 with optional HSL v2.01.6198, optional SCL v2.13.001, optional ACL v3.03.003, optional HCL v1.13.001, optional RCL v1.10.006 and with specific IC-dedicated firmware identifier 80.203.00.3 and Flash Loader v8.06.001","Infineon Technologies AG","NL","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","12/10/2021","12/10/2026","http://commoncriteriaportal.org:443/files/epfiles/CC-21-0173264-CR3-1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0173264-STLite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Qualcomm Secure Processor Unit SPU250 (Version: 4.1) in SM8350 SoC (Qualcomm® Snapdragon™ 888) with symmetric and asymmetric crypto support","Qualcomm Technologies Inc.","NL","EAL4+,ALC_DVS.2,AVA_VAN.5","","12/02/2021","12/02/2026","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0227918-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/80-NU430-8_AD_SPU250_Security_Target_Lite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3D384C/ S3D352C/ S3D300C/ S3D264C/ S3D232C/ S3K384C référence S3D384C_20210728","Samsung","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","11/30/2021","11/30/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_56.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_56.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon smart card IC (Security Controller) IFX_CCI_000011h, IFX_CCI_00001Bh, IFX_CCI_00001Eh, IFX_CCI_000025h, design step G12 with optional libraries and with specific IC dedicated software","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","11/26/2021","11/26/2026","http://commoncriteriaportal.org:443/files/epfiles/1025V4a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1025V4b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-A v1.0 on ID-One Cosmo J (SAAAAR : 417701, 418402 et 417652)","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4","11/23/2021","11/23/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_57fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2021_57en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Security Controller M7892 Design Steps D11 and G12, with specific IC dedicated firmware, including the Flash Loader enhanced by the Mutual Authentication Extension (MAE) Infineon Security Controller M7892 Design Steps D11 and G12, with the optional libraries RSA2048/4096 v2.03.008 or v2.07.003, EC v2.03.008 or v2.07.003, SHA-2 v1.01, Toolbox v2.03.008 or v2.07.003 and symmetric crypto library v2.02.010, as well as with specific IC dedicated firmware, including the Flash Loader enhanced by the Mutual Authentication Extension (MAE)","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","11/23/2021","11/23/2026","http://commoncriteriaportal.org:443/files/epfiles/0891V6a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0891V6b_pdf.pdf","01/28/2022","Infineon Security Controller M7892 Design Steps D11 and G12, with the optional libraries RSA2048/4096 v2.03.008 or v2.07.003, EC v2.03.008 or v2.07.003, SHA-2 v1.01, Toolbox v2.03.008 or v2.07.003 and symmetric crypto library v2.02.010, as well as with specific IC dedicated firmware, including the Flash Loader enhanced by the Mutual Authentication Extension (MAE)","http://commoncriteriaportal.org:443/files/epfiles/0891V6ma01a_pdf.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Security Controller M7892 Design Steps D11 and G12, with specific IC dedicated firmware, including the Flash Loader enhanced by the Mutual Authentication Extension (MAE) Infineon Security Controller M7892 Design Steps D11 and G12, with the optional libraries RSA2048/4096 v2.03.008 or v2.07.003, EC v2.03.008 or v2.07.003, SHA-2 v1.01, Toolbox v2.03.008 or v2.07.003 and symmetric crypto library v2.02.010, as well as with specific IC dedicated firmware, including the Flash Loader enhanced by the Mutual Authentication Extension (MAE)","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","11/23/2021","11/23/2026","http://commoncriteriaportal.org:443/files/epfiles/0891V6a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0891V6b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Security Controller IFX_CCI_00000Fh, IFX_CCI_000010h, IFX_CCI_000026h, IFX_CCI_000027h, IFX_CCI_000028h, IFX_CCI_000029h, IFX_CCI_00002Ah, IFX_CCI_00002Bh, IFX_CCI_00002Ch in the design step G12 and including optional software libraries and dedicated firmware","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","11/12/2021","11/12/2026","http://commoncriteriaportal.org:443/files/epfiles/1079V3a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1079V3b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Security Enclave TESIC-04001R20 in SEQUANS communication SOC Monarch 2/N-SQN3401 Référence TESIC-04001R20-BL2.0-AL28-CL3.0.F","TIEMPO SAS","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","","11/11/2021","11/11/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_53.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_53en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","CardOS V6.0 ID R1.0","Atos Information Technology GmbH","DE","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3,P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1","11/10/2021","11/10/2026","http://commoncriteriaportal.org:443/files/epfiles/1162a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1162b_pdf.pdf","10/06/2022","CardOS V6.0 ID R1.1","http://commoncriteriaportal.org:443/files/epfiles/1162ma1a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1162ma1b_pdf.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","CardOS V6.0 ID R1.0","Atos Information Technology GmbH","DE","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3,P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1","11/10/2021","11/10/2026","http://commoncriteriaportal.org:443/files/epfiles/1162a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1162b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5 BAC on MultiApp V5.0 (version 2.5.0.0)","THALES DIS FRANCE SA","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","11/04/2021","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_43.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2021_43en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5 EAC on BAC on MultiApp V5.0","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","11/04/2021","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_44.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2021_44en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel 2.5 EAC on SAC on MultiApp V5.0 (2.5.0.0)","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","11/04/2021","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_45.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2021_45en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IAS Classic v5.2 on MultiApp V5.0","THALES DIS FRANCE SA","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4","11/04/2021","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_54.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_54en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Sony RC-SA20, RC-SA21 and RC-SA24 Series version 1.00","Sony Imaging Products & Solutions Inc.","NL","EAL6+,ASE_TSS.2","PTPP","10/26/2021","10/26/2026","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-214607-CR2.pdf","http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-214607-st.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NPCT7xx TPM2.0 rev 1.59 (configuration version 1.0.0.0)","Nuvoton Technology","FR","EAL4+,ALC_DVS.2,ALC_FLR.1,AVA_VAN.4","","10/22/2021","10/22/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_49fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_49en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NPCT7xx TPM2.0 rev 1.59 (configuration version 1.1.0.0)","Nuvoton Technology","FR","EAL4+,ALC_DVS.2,ALC_FLR.1,AVA_VAN.4","","10/22/2021","10/22/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_50fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_50en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NPCT7xx TPM2.0 rev 1.59 (configuration version 1.3.0.0)","Nuvoton Technology","FR","EAL4+,ALC_DVS.2,ALC_FLR.1,AVA_VAN.4","","10/22/2021","10/22/2026","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_51fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_51en.pdf","","","",""
