id,category,name,manufacturer,scheme,assurance_level,protection_profile,certification_id,certification_date,archived_date,certification_report_url,security_target_url,maintenance_date,maintenance_title,maintenance_report,maintenance_st,conformance_claim,cctl,remark
374,"ICs, Smart Cards and Smart Card-Related Devices and Systems","MultiApp V4.2 ID version 4.2.1","THALES DIS FRANCE SA",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",JAVA_OC,NULL,09/23/2021,09/23/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_41.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_41en.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
375,"ICs, Smart Cards and Smart Card-Related Devices and Systems","Winbond W77Q16/32 version C","Winbond Electonics Corporation",NL,"EAL2+,ALC_FLR.2",NULL,NULL,09/08/2021,09/08/2026,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0308282-CR-noWatermark.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0308282-STLite.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,"ICs, Smart Cards and Smart Card-Related Devices and Systems","IFX_CCI_00003Bh, IFX_CCI_000043h, IFX_CCI_00005Dh, IFX_CCI_00005Eh, IFX_CCI_00005Fh, IFX_CCI_000060h, IFX_CCI_000061h, IFX_CCI_000062h, IFX_CCI_000063h, IFX_CCI_000064h design step S11 with firmware 80.309.05.0, optional NRG SW 05.03.4097, optional HSL v3.52.9708, UMSLC lib v01.30.0564, optional SCL v2.15.000, optional ACL v3.33.003, optional RCL v1.10.007, optional HCL v1.13.002 and user guidance","Infineon Technologies AG",DE,"EAL6+,ALC_FLR.1",SECURITY_IC_AUGP_V1.0,NULL,08/30/2021,08/30/2026,http://commoncriteriaportal.org:443/files/epfiles/1169a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1169b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
377,"ICs, Smart Cards and Smart Card-Related Devices and Systems","RISE Konnektor V4.0","Research Industrial Systems Engineering &#x28;RISE&#x29; Forschungs-, Entwicklungs- und Gro&szlig;projekteberatung GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,08/27/2021,08/26/2026,http://commoncriteriaportal.org:443/files/epfiles/1052V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1052V4b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
378,"ICs, Smart Cards and Smart Card-Related Devices and Systems","RISE Konnektor V4.0","Research Industrial Systems Engineering &#x28;RISE&#x29; Forschungs-, Entwicklungs- und Gro&szlig;projekteberatung GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_TAT.1,AVA_VAN.3",NULL,NULL,08/27/2021,08/26/2026,http://commoncriteriaportal.org:443/files/epfiles/1164a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1164b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,"ICs, Smart Cards and Smart Card-Related Devices and Systems","TnD v5.1 on ID-One Cosmo X (BAC Configuration)",Idemia,NL,"EAL4+,ADV_FSP.5,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,NULL,08/26/2021,08/26/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0362718-cr.pdf,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0362718-stlite.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
380,"ICs, Smart Cards and Smart Card-Related Devices and Systems","TnD v5.1 on ID-One Cosmo X (EAC Configuration)",Idemia,NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD-PP_V1.10,NULL,08/26/2021,08/26/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0362720-cr.pdf,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0362720-stlite.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,"ICs, Smart Cards and Smart Card-Related Devices and Systems","IFX_CCI_00004Fh, IFX_CCI_000050h, IFX_CCI_000051h, IFX_CCI_000052h, IFX_CCI_000053h, IFX_CCI_000054h, IFX_CCI_000055h, IFX_CCI_000056h, IFX_CCI_000057h, IFX_CCI_000058h, IFX_CCI_00005Ch design step S11 with firmware 80.310.03.0 & 80.310.03.1, optional NRG SW 05.03.4097, optional HSL v3.52.9708, UMSLC lib v01.30.0564, optional SCL v2.15.000 and v2.11.003, optional ACL v3.33.003 and v3.02.000, optional RCL v1.10.007, optional HCL v1.13.002 and user guidance","Infineon Technologies AG",DE,"EAL6+,ALC_FLR.1",SECURITY_IC_AUGP_V1.0,NULL,08/16/2021,08/16/2026,http://commoncriteriaportal.org:443/files/epfiles/1156V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1156V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
382,"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Technologies AG OPTIGA Trusted Platform Module SLB9672_2.0, v15.20.15686.00 and v15.21.16430.00","Infineon Technologies AG",DE,"EAL4+,ALC_FLR.1,AVA_VAN.5",TPM1.2,NULL,08/13/2021,08/13/2026,http://commoncriteriaportal.org:443/files/epfiles/1113V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1113V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
383,"ICs, Smart Cards and Smart Card-Related Devices and Systems","IFX_CCI_000Dh, IFX_CCI_0020h, IFX_CCI_0031h, IFX_CCI_0032h, IFX_CCI_0034h, IFX_CCI_0037h design step T31 and M31 with optional HSL v2.62.7626, optional SCL version v2.04.003, UMSLC lib v01.00.0234 with specific IC-dedicated firmware identifier 80.301.05.1 and user guidance","Infineon Technologies AG",DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_AUGP_V1.0,NULL,08/12/2021,08/12/2026,http://commoncriteriaportal.org:443/files/epfiles/1126V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1126V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,"ICs, Smart Cards and Smart Card-Related Devices and Systems","MTCOS Pro 2.5 V2 EAC with PACE / SLE78CLFX400VPHM/BPHM/7PHM (M7892)","MaskTech International GmbH",DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,NULL,08/05/2021,08/05/2026,http://commoncriteriaportal.org:443/files/epfiles/1033V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1033V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
385,"ICs, Smart Cards and Smart Card-Related Devices and Systems","MTCOS Pro 2.5 V2 EAC with PACE / SLE78CLFX400VPHM/BPHM/7PHM (M7892) (BAC)","MaskTech International GmbH",DE,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,NULL,08/05/2021,08/05/2026,http://commoncriteriaportal.org:443/files/epfiles/1034V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1034V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
386,"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Security Controller IFX_CCI_000003h, 000005h, 000008h, 00000Ch, 000013h, 000014h, 000015h, 00001Ch, 00001Dh, 000021h, 000022h in the design step H13 and including optional software libraries and dedicated firmware in several versions","Infineon Technologies AG",DE,"EAL6+,ALC_FLR.1",SECURITY_IC_AUGP_V1.0,NULL,08/04/2021,08/04/2026,http://commoncriteriaportal.org:443/files/epfiles/1110V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1110V4b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
387,"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon SLS37CSAEU 01.03.4091","Infineon Technologies AG",NL,"EAL4+,ALC_FLR.1,AVA_VAN.4",NULL,NULL,08/04/2021,08/04/2026,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0238862-CR.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0238862-ST.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
388,"ICs, Smart Cards and Smart Card-Related Devices and Systems","KOMSCO JK31 V1.1 on M7892",KOMSCO,KR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SCOP_V2.2,NULL,07/29/2021,07/29/2026,"http://commoncriteriaportal.org:443/files/epfiles/KECS-ISIS-1113-2021 CR(KOMSCO JK31 V1.1 on M7892)(eng).pdf","http://commoncriteriaportal.org:443/files/epfiles/[JK31-R2-TR-0001] Security Target-Lite-e-v1.0.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
389,"ICs, Smart Cards and Smart Card-Related Devices and Systems","STMicroelectronics J-Tacho v.1.3.1",STMicroelectronics,NL,"EAL4+,ATE_DPT.2,AVA_VAN.5",TC_PP,NULL,07/28/2021,07/28/2026,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-222356-CR2.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-222356_2-ST.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
390,"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-A v1.0 on ID-ONE COSMO X Code SAAAR de lapplet : 417692 Code SAAAR du Common package : 417641",Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4",NULL,07/27/2021,07/27/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_36fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_36n.pdf,07/12/2022,"Maintenance report : ANSSI-CC-2021/36-M01",http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_36-m01.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_36-m01en.pdf,NULL,NULL,NULL
391,"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-A v1.0 on ID-ONE COSMO X Code SAAAR de lapplet : 417692 Code SAAAR du Common package : 417641",Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4",NULL,07/27/2021,07/27/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_36fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_36n.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
392,"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 3 P60","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity",NL,"EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5",ANSSI-CC-PP-2001-03-M01,NULL,07/23/2021,07/23/2026,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report NSCIB-CC-98209-CR5 - version 3.0 (2022-10-14).pdf",http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-98209_5-STLite.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
393,"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3D384C/ S3D352C/ S3D300C/ S3D264C/ S3D232C/ S3K384C 32-bit RISC Microcontroller for Smart Card with optional AT1 Secure Libraries including specific IC Dedicated software Version S3D384C_20210620","Samsung Electronics Co., Ltd.",FR,"EAL6+,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,NULL,07/21/2021,07/21/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_37-kootenai5r3.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_37.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
394,"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3FV9RR/S3FV9RQ/S3FV9RP/S3FV9RK 32-bit RISC Microcontroller for Smart Card with optional AE1 Secure Libraries including specific IC Dedicated software Référence : S3FV9RR_20210407","Samsung Electronics Co., Ltd.",FR,"EAL6+,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021-34fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2021_34en.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
395,"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3NSN4V 32-bit RISC Microcontroller for Smart Card including specific IC Dedicated software Référence : S3NSN4V_20210407","Samsung Electronics Co., Ltd.",FR,"EAL6+,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021-35fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2021_35en.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
396,"ICs, Smart Cards and Smart Card-Related Devices and Systems","SECORA ID X Applet Collection with ePasslet Suite v3.5 by cryptovision GmbH, version 1.0  Java Card applet configuration providing Machine Readable Travel Document with ICAO Application, Extended Access Control with PACE","Infineon Technologies AG",NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",EPASS_PACE_V1.0,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189587-creac.pdf,http://commoncriteriaportal.org:443/files/epfiles/st-lite-eacv1.4st_lite_eps3_pp0056v2_v14_infineon.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,"ICs, Smart Cards and Smart Card-Related Devices and Systems","SECORA ID X Applet Collection with ePasslet Suite v3.5 by cryptovision GmbH, version 1.0  Java Card applet configuration providing Secure Signature Creation Device with key import (SSCD)","Infineon Technologies AG",NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",PP_SSCD_PART3_V1.0.2,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189594-crsscd-imp.pdf,http://commoncriteriaportal.org:443/files/epfiles/st-lite-sscd_impv1.6st_lite_eps3_pp0075_v16_infineon.pdf,04/07/2022,nscib-cc-0189594-ma-1.0,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189594-ma-1.0.pdf,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189594_1m1-stlv1.8.pdf,NULL,NULL,NULL
398,"ICs, Smart Cards and Smart Card-Related Devices and Systems","SECORA ID X Applet Collection with ePasslet Suite v3.5 by cryptovision GmbH, version 1.0  Java Card applet configuration providing Secure Signature Creation Device with key import (SSCD)","Infineon Technologies AG",NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",PP_SSCD_PART3_V1.0.2,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189594-crsscd-imp.pdf,http://commoncriteriaportal.org:443/files/epfiles/st-lite-sscd_impv1.6st_lite_eps3_pp0075_v16_infineon.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399,"ICs, Smart Cards and Smart Card-Related Devices and Systems","SECORA ID X Applet Collection with ePasslet Suite v3.5 by cryptovision GmbH, version 1.0 Java Card applet configuration providing Machine-Readable Electronic Documents based on BSI TR-03110 for Official Use with BAC option","Infineon Technologies AG",NL,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189569-crbac.pdf,http://commoncriteriaportal.org:443/files/epfiles/st-lite-bacv1.5st_lite_eps3_pp0055_v15_infineon.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
400,"ICs, Smart Cards and Smart Card-Related Devices and Systems","SECORA ID X Applet Collection with ePasslet Suite v3.5 by cryptovision GmbH, version 1.0 Java Card applet configuration providing Secure Signature Creation Device with Key generation (SSCD)","Infineon Technologies AG",NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",PP_SSCD_PART2_V1.03,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189590-crsscd.pdf,http://commoncriteriaportal.org:443/files/epfiles/st-lite-sscdv1.6st_lite_eps3_pp0059_v16_infineon.pdf,04/05/2022,"Assurance Continuity Maintenance Report",http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189590-ma-1.0.pdf,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189590_1m1-stlv1.8.pdf,NULL,NULL,NULL
401,"ICs, Smart Cards and Smart Card-Related Devices and Systems","SECORA ID X Applet Collection with ePasslet Suite v3.5 by cryptovision GmbH, version 1.0 Java Card applet configuration providing Secure Signature Creation Device with Key generation (SSCD)","Infineon Technologies AG",NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",PP_SSCD_PART2_V1.03,NULL,07/13/2021,07/13/2026,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0189590-crsscd.pdf,http://commoncriteriaportal.org:443/files/epfiles/st-lite-sscdv1.6st_lite_eps3_pp0059_v16_infineon.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
402,"ICs, Smart Cards and Smart Card-Related Devices and Systems","IFX_CCI_00002Dh, IFX_CCI_000039h, IFX_CCI_00003Ah, IFX_CCI_000044h, IFX_CCI_000045h, IFX_CCI_000046h, IFX_CCI_000047h, IFX_CCI_000048h, IFX_CCI_000049h, IFX_CCI_00004Ah, IFX_CCI_00004Bh, IFX_CCI_00004Ch, IFX_CCI_00004Dh, IFX_CCI_00004Eh design step T11 with firmware 80.306.16.0 & 80.306.16.1, optional NRG SW 05.03.4097, optional HSL v3.52.9708, UMSLC lib v01.30.0564, optional SCL v2.15.000 and v2.11.003, optional ACL v3.33.003 and v3.02.000, optional RCL v1.10.007, optional HCL v1.13.002 and user guidance","Infineon Technologies AG",DE,"EAL6+,ALC_FLR.1",SECURITY_IC_AUGP_V1.0,NULL,07/07/2021,07/07/2026,http://commoncriteriaportal.org:443/files/epfiles/1107V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1107V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
403,"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Technologies Security Controller M7794 A12 and G12 with specific IC-dedicated firmware identifier V77.017.12.0 or V77.017.12.2 or V77.017.13.2","Infineon Technologies AG",DE,"EAL5+,ALC_DVS.2,AVA_VAN.5",SECURITY_IC_V1.0,NULL,07/07/2021,07/07/2026,http://commoncriteriaportal.org:443/files/epfiles/0964V5a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0964V5b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
404,"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH",DE,"EAL6+,ALC_FLR.1,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,NULL,06/24/2021,06/24/2026,http://commoncriteriaportal.org:443/files/epfiles/1072V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1072V4b_pdf.pdf,12/17/2021,"NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software",http://commoncriteriaportal.org:443/files/epfiles/1072V4ma1a_pdf.pdf,NULL,NULL,NULL,NULL
405,"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6021y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH",DE,"EAL6+,ALC_FLR.1,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,NULL,06/24/2021,06/24/2026,http://commoncriteriaportal.org:443/files/epfiles/1072V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1072V4b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
406,"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6022y VB* including IC Dedicated Software","NXP Semiconductors Germany GmbH",DE,"EAL6+,ALC_FLR.1,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,NULL,06/24/2021,06/24/2026,http://commoncriteriaportal.org:443/files/epfiles/1059V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1059V4b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS FlexCert Version 2.0 Release 2/SLC52","Deutsche Telekom Security GmbH",DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",BSI-CC-PP-0082-V4-2019,NULL,06/24/2021,06/24/2026,http://commoncriteriaportal.org:443/files/epfiles/0904V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0904V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
408,"ICs, Smart Cards and Smart Card-Related Devices and Systems","MultiApp Essential v1.1 Platform with Full, Light, XLight_T1 and XLight_NB configurations","THALES DIS FRANCE SA",ES,"EAL5+,ALC_DVS.2,AVA_VAN.5",ANSSI-CC-PP-2001-03-M01,NULL,06/18/2021,06/18/2026,"http://commoncriteriaportal.org:443/files/epfiles/2020-33 INF-3550.pdf","http://commoncriteriaportal.org:443/files/epfiles/2020-33 ST_lite.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
409,"ICs, Smart Cards and Smart Card-Related Devices and Systems","STARCOS 3.7 COS HBA-SMC","G&#x2b;D Mobile Security GmbH",DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",PP_COS_G2,NULL,06/18/2021,06/18/2026,http://commoncriteriaportal.org:443/files/epfiles/0976V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0976V4b_pdf.pdf,05/09/2022,"STARCOS 3.7 COS HBA-SMC",http://commoncriteriaportal.org:443/files/epfiles/0976v4ma1a_pdf.pdf,NULL,NULL,NULL,NULL
410,"ICs, Smart Cards and Smart Card-Related Devices and Systems","STARCOS 3.7 COS HBA-SMC","G&#x2b;D Mobile Security GmbH",DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",PP_COS_G2,NULL,06/18/2021,06/18/2026,http://commoncriteriaportal.org:443/files/epfiles/0976V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0976V4b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
411,"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2  BAC and AA activated(release 0300)","THALES DIS FRANCE SA",FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,NULL,06/15/2021,06/15/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_26fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_26en.pdf,01/14/2022,"Maintenance report:  ANSSI-CC-2021/26-M01",http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_26-m01.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_26en.pdf,NULL,NULL,NULL
412,"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2  BAC and AA activated(release 0300)","THALES DIS FRANCE SA",FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,NULL,06/15/2021,06/15/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_26fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_26en.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
413,"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2  BAC, EAC and AA activated (release 0300)","THALES DIS FRANCE SA",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.1,NULL,06/15/2021,06/15/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_27fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_27en.pdf,01/14/2022,"Maintenance report: ANSSI-CC-2021/27-M01",http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_27-m01.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_27-m01en.pdf,NULL,NULL,NULL
414,"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2  BAC, EAC and AA activated (release 0300)","THALES DIS FRANCE SA",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.1,NULL,06/15/2021,06/15/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_27fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_27en.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
415,"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2  PACE, EAC and AA activated(release 0300)","THALES DIS FRANCE SA",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",NULL,06/15/2021,06/15/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_28fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_28en.pdf,01/14/2022,"Maintenance report: ANSSI-CC-2021/28-M01",http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_28-m01.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_28-m01en.pdf,NULL,NULL,NULL
416,"ICs, Smart Cards and Smart Card-Related Devices and Systems","eTravel Essential 1.2  PACE, EAC and AA activated(release 0300)","THALES DIS FRANCE SA",FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",NULL,06/15/2021,06/15/2026,http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2021_28fr.pdf,http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2021_28en.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
417,"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 5.2 on SN100.C58 Secure Element","NXP Semiconductors",NL,"EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","BSI-PP-0104,JAVA_OC,UICC_CD",NULL,06/14/2021,06/14/2026,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0023577-CR3.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0023577-ST-Lite.pdf,08/18/2021,"The changes to the certified product are related to the addition of a new production site for the SN100, 
which is the certified platform that is part of this composite TOE. The identification of the maintained 
product is retained as NXP JCOP 5.2 on SN100.C58 Secure Element.",http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0023577-3MA1.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0023577-3m1-STLite.pdf,NULL,NULL,NULL
